,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
HUN,0.0004161886026043378,0.0020144971142237165,0.0004757528590153481,0.035510334674849584,0.004002602771791425,0.03027857731371359,0.02740742636467195,0.08111927659346581,0.0023359582528678915,0.02987270910227026,0.005358693270346539,0.014854059598375135
ISL,0.048384976940213945,0.014896331004959134,0.0016585495789074632,0.0052324121676446895,0.003259402036403526,0.00163006534855644,0.09272921363939017,0.014370545977134741,0.00010005488896273501,0.006240333965718508,0.001215329553135391,0.017801114114184332
IRL,0.011985399864581237,0.06694007646922394,0.0011148695322145792,0.08498066175463397,0.0627873551831517,0.040239897739908825,0.004641064708055482,0.004442213652347684,0.014385111190620676,0.0013432642777055869,0.05712285400268179,0.0059255070160338956
ITA,0.04583857306999601,0.023263255185331285,0.010428540596137082,2.4511079077477036e-06,0.001526877842167718,0.003277993862187859,0.040200025798505935,0.0065141261239835555,0.014830648697513552,0.02179753725085426,0.03355876354898407,0.019535673128038895
LVA,0.030299063115571595,0.027687946890577898,0.064956662813425,5.6011571254739506e-05,0.001363152935306555,0.005149530284319136,0.028220833490735155,0.00022253510139328333,0.05737285581628679,0.0004960079163875912,0.019057014634897933,0.0042155690360501956
LTU,0.029743660960566458,0.040265896624369635,0.05862270312449541,0.0002042545466254537,0.006653201411036721,0.002926266751242362,0.0384271499380935,0.010164081980895691,0.033216062634493226,0.004665709838689987,0.029496593984945484,0.003947516110980985
MKD,0.024680438481968006,0.007686759342463627,0.009523171266222603,0.0011592601244157503,0.016224434540926123,0.015773058998814118,0.0008834121544226142,0.004484512687288659,0.00015848674496206854,0.002694545688933345,0.0004983789568031111,0.0008892148883416706
MLT,0.11561875108411172,0.002673258829576786,0.016692442287148043,0.05994088353393751,0.03788003851082225,0.10764995380216982,0.11999730387846395,0.12193907969820744,0.05341880068472293,0.000595211144158177,0.0017650161795467827,0.007599765063065968
MDA,0.002222250183596704,0.006441628415683896,0.00012703598629152068,0.043968222942702265,2.387193106362277e-06,0.0142189971104767,0.10721469224930963,0.05903050840333077,0.05846534858367231,0.15474468516741546,0.015278509461506802,0.030900204024224887
MNE,0.0035424240195793214,0.020554454789365347,0.14658206791643652,0.01656785860361468,0.05786996367345057,0.0006778123423008899,0.02215078377856557,0.016771872567053425,0.07553422260402017,0.003665964532135755,0.022673499814637767,0.004230645239893751
NLD,0.0036770692759403637,0.07340778821144221,0.000712048335629077,0.007325477349387332,0.0012251793302720934,0.012359265248610633,0.001977458236683078,0.006395529291702163,0.024698582374883486,0.09109825109170165,0.026917940108825124,0.41760623985709366
NOR,0.04687002098169449,0.013388642471109012,0.0022952239107354036,0.01333133552339692,0.013157739309182376,0.024554317713349857,0.05492189202550161,0.004799030822503716,0.0007883938450333356,3.869723694029008e-06,0.0021761263122821346,0.014376130409137801
POL,0.015438921517545013,0.014622853624628496,0.004809889418483556,0.034787020572653614,0.08893677237084388,0.006062104624739299,1.4314697096329664e-08,0.03820037372531554,0.009402598897795982,0.0011227026774686517,1.6865263428767195e-05,0.00011391351019242999
PRT,0.025161978931001694,0.031771635807630275,0.002376926713338144,0.00016205163412142496,0.0016169151300541834,0.029178257587043774,0.011700332580671756,3.655258382283138e-06,0.023834849230557932,0.000370174647617153,0.10575748518679047,0.0029533500228571393
ROU,0.009725195309335213,0.003851064658671534,0.01673990210319009,0.00739886881308596,0.0016681003707051043,0.028404565212618162,0.012107866622394547,0.016452616929195297,0.008789308057328526,0.0033942874673364783,0.07802659196358774,0.03632932127681731
RUS,0.01182336005926476,0.05285843795428031,0.0057770068457784,0.00850171003553946,0.029008116518542047,0.06380804368583112,0.017712827626219806,0.02052725286944732,0.01801889957717917,0.002219813108465749,0.0029751535936945973,3.3987364697738885e-06
SRB,0.001550398007046462,0.03271873479220345,0.06270427731623074,0.006702631112687844,0.01885693701115988,0.004258614257924302,0.000242498290835815,0.010207971073739712,0.008904773776500606,0.00017458703926182407,0.008052964070254442,0.0025370847584874137
SVK,0.0014559467021614118,0.011013337752948474,1.704329046004911e-05,0.027963640303704584,0.03473820981778315,0.0010092765247968754,0.005207068143224986,0.008030970551641328,0.0033913544581998948,0.009844311798898699,0.05417295940028741,0.015243940210813307
SVN,0.004000209830555462,0.011486277545925393,0.0006780938220198313,0.05598195182345182,0.0038201112348709093,0.0009368458384547817,0.013651708494642242,0.009048352719161604,0.0929697149956891,0.004661452117984939,0.0014770085918137915,0.021519920952661663
ESP,0.007094536636662978,0.016944824530609838,0.019704615850539908,0.021314117912653485,0.03687007416934542,0.12268889174290554,0.011667497959978654,0.04372975353110806,0.011624607397996325,0.03658477154606803,0.02802821476147677,1.2968146769090435e-07
SWE,0.05049994644542754,0.0039450204337697975,0.041758794620762714,0.21414908687527462,0.013230528106805932,0.00046642689856550383,0.0367927462490089,0.007259923051432628,0.012822777467633438,0.03398214728022091,0.0033937654335325458,0.050912077618035796
CHE,0.00280134547583426,0.09260431745939376,0.03640879796904363,0.009157646529839355,0.0131588406670761,4.5872254748771924e-07,0.1582946470599692,0.038911034414582636,0.029126847586813543,0.08930960692293544,0.01701393874722523,0.0003124733956468813
UKR,0.0007620020480404472,0.03162430979619901,0.00054614628113227,0.002787693794884273,0.048187275100969734,0.006460807919498474,0.0018394761742756623,0.005784666064959315,0.009769867908251772,0.030950609659422576,0.006214787632243614,0.08725813505001159
