,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
HUN,0.018587362436676847,0.059282338164901194,0.007732819914426952,0.3372336839313721,0.027377271497773775,0.15712597798489103,0.10367349201166774,0.23335349996691443,0.005148317747401922,0.04562848219117066,0.004378693745637492,0.00047806040716601514
ISL,0.694804461876525,0.14094915109947304,0.008667810810461925,0.015977271090059253,0.00716819942714708,0.002719831627873009,0.11278219007195951,0.013291928433443519,7.090274614529998e-05,0.0030647405950376435,0.0003193038877950855,0.00018420833407970606
IRL,0.1312093696227517,0.48286932330763815,0.004441864160579653,0.19782493269179183,0.10526999375041693,0.05118634665154927,0.004303302058690348,0.0031323799045064513,0.007771381441511505,0.0005029300838771958,0.011441429959267488,4.6746367419550665e-05
ITA,0.641030703577256,0.21436274840348213,0.05307624408382966,7.288845917680781e-06,0.0032701834847923264,0.005326486390632769,0.04761523805906756,0.005867682012815719,0.010234828525891216,0.010425310493898122,0.008586413125648904,0.00019687299676782568
LVA,0.38545021122404066,0.23209240653596294,0.3007403478556151,0.00015151842274149362,0.002655851314544192,0.007611875016526929,0.03040750669454783,0.0001823476948177984,0.036017887549320546,0.00021580501073839196,0.004435596612184254,3.864606895994118e-05
LTU,0.34884324804914846,0.3111747604718358,0.2502249691713224,0.0005093968191954061,0.011950515978938694,0.003987812737758632,0.03817209191500192,0.007678329131554692,0.019224574301723793,0.001871489754876233,0.006329448304083956,3.336336456013708e-05
MKD,0.6452624184675673,0.1324213084730456,0.09061372832939633,0.00644485268189771,0.06496405963631782,0.047916421003658116,0.001956224784817057,0.007551990287880523,0.00020447919546431865,0.0024093665705445903,0.00023839727362246586,1.67532957883788e-05
MLT,0.6598381831223394,0.010052666380725191,0.03467032859844248,0.07274127459324543,0.03310851240731685,0.07138516396454694,0.058003278865366,0.044824427151109916,0.015044438543755033,0.00011617536660888408,0.00018429601635960966,3.1254990184158153e-05
MDA,0.05716044043612319,0.10917655215434366,0.0011892092656288012,0.24048618101113192,9.403948755750254e-06,0.04249682903039679,0.23357631662117526,0.09780066432554377,0.07421194955541892,0.13612948000207847,0.007190211918241656,0.0005727617311617838
MNE,0.03930572659378113,0.15027693775937084,0.5919227527835142,0.039090413210381605,0.09833963255159475,0.000873875777612526,0.020816910224973645,0.011986696365732758,0.041359161967382686,0.0013911609290181602,0.004602904179158326,3.382765747924471e-05
